taxa,CIR10d
10,0.42962962933342
100,0.718518518333334
101,0.759259259333334
102,0.748148148000001
104,0.818518518666668
105,0.692592592333334
106,0.748148148333334
108,0.622222222333334
11,0.744444444333334
111,0.788888889000001
112,0.748148148000001
113,0.622222222333334
114,0.388888888666668
115,0.755555555666668
116,0.814814814666667
117,0.707407407333334
118,0.851851852000001
119,0.662962963000001
12,0.855555555333334
120,0.862962963000001
122,0.555555555333334
123,0.607407407333334
124,0.551851851666668
125,0.770370370333334
126,0.796296296666668
127,0.848148148333334
129,0.844444444666668
13,0.396296296333334
131,0.674074074000001
132,0.115235543189895
133,0.918518518333334
134,0.840740740666668
135,0.525925926000001
140,0.744444444333334
142,0.692592592666668
143,0.677777777666668
144,0.788888889000001
145,0.518518518666668
146,0.848148148000001
147,0.777777778000001
15,0.834492697992882
150,0.885185185000001
151,0.681481481333334
152,0.811111111333334
153,0.766666666333334
154,0.800000000000001
155,0.774074074000001
156,0.900000000000001
157,0.696296296333334
158,0.837037037000001
159,0.774074074333334
160,0.688888889000001
161,0.637037037000001
162,0.592592592666668
163,0.818518518333334
164,0.574074074333334
166,0.455555555666668
167,0.492592592666667
168,0.607407407333334
17,0.873381586992882
170,0.866666667000001
171,0.759259259333334
173,0.866666666666668
175,0.840740740666667
176,0.744444444333334
177,0.725925926000001
178,0.829629629666668
18,0.640740740666668
180,0.770370370333334
183,0.840740740666668
185,0.840740740666668
186,0.725925926000001
187,0.796296296333334
19,0.492592592666668
192,0.733333333333334
194,0.662962963000001
196,0.829629629666668
197,0.692592592666668
198,0.607407407333334
199,0.825925925666668
200,0.837037037000001
201,0.737037036666668
202,0.637037037333334
203,0.307407407666668
204,0.196296296333335
205,0.792592592666667
206,0.877777777666668
208,0.603703703666667
209,0.681481481666667
21,0.644444444333334
210,0.748148148000001
211,0.759259259333334
213,0.733333333333334
215,0.648148148000001
217,0.307407407000001
218,0.922222222000001
22,0.851851852000001
220,0.715235543189895
221,0.844444444333335
222,0.707407407666668
223,0.877777777666668
227,0.825925925666667
228,0.703703703666668
229,0.722222222333334
23,0.812270475992882
230,0.422222222333334
232,0.385185185333334
233,0.392592592333334
235,0.167826031492882
236,0.933333333333334
237,0.892592592333334
244,0.588888888666668
245,0.314814814666668
246,0.496296296333334
247,0.407407407333334
248,0.333333333333335
25,0.748148148000001
250,0.151851851666668
251,0.422222222000001
253,0.396296296333334
254,0.444444444333334
255,0.659259259000001
256,0.237037037000001
257,0.588888889000001
258,0.0925925926666678
260,0.200000000000001
262,0.400000000000001
264,0.144444444333335
266,0.288888889000001
269,0.622222222000001
27,0.466666666666668
273,0.274074074000001
274,0.385185185333334
275,0.233333333333335
278,0.148148148000001
28,0.590048253492882
280,0.422222222333334
281,0.588888888666668
283,0.0444444443333346
284,0.211111111000001
285,0.459259259333334
288,0.211111111000001
30,0.767826030992882
305,0.466666666333334
307,0.459259259333335
32,0.412270475492882
33,0.456714919992882
36,0.525925926000001
37,0.644444444666668
39,0.614814814666668
40,0.696296296000001
41,0.522222222000001
42,0.585185185333334
43,0.270370370333335
46,0.800000000000001
47,0.322222222000001
499,0.781481481666668
500,0.866666666666668
53,0.929629629666668
54,0.566666666666668
55,0.644444444666668
56,0.418518518333334
57,0.759259259333334
58,0.681481481666668
59,0.737037036666668
6,0.500000000000001
62,0.673381586992882
63,0.829629629666668
64,0.551851851666668
65,0.807407407666668
67,0.851851852000001
70,0.814814814666668
71,0.344444444666668
73,0.662962963000001
74,0.733333333666668
75,0.514814814666668
76,0.651851852000001
77,0.223381586992882
78,0.740740741000001
9,0.273381586492882
94,0.796296296333334
95,0.570370370333334
96,0.581481481666668
99,0.225925926000001
BR82,0.785185185333334
BR84,0.762962963000001
BR85,0.700000000333334
R100,0.777777777666668
R101,0.725925926000001
R102,0.948148148000001
R106,0.762962963000001
R112,0.818518518333334
R113,0.814814814666668
R114,0.818518518666668
R115,0.644444444333334
R116,0.870370370333334
R119,0.659259259333334
R120,0.696296296333334
R141,0.814814814666667
R142,0.892592592666668
R143,0.644444444333334
R144,0.822222222000001
R145,0.811111111000001
R146,0.340740740666668
R147,0.781481481333334
R148,0.814814815000001
R149,0.788888888666668
R150,0.911111111000001
R153,0.748148148000001
R154,0.622222222333334
R155,0.718518518666668
R156,0.759259259000001
R158,0.888888888666668
R159,0.903703703666668
R160,0.888888889000001
R161,0.637037037000001
R162,0.655555555333334
